"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"84",2015-09-22,"2015-09",3,0,16.8458333333333,1.44166666666667,21.0041666666667,2.67083333333333,0,4671.83333333333,4168.75,4848.83333333333,1220.54166666667,503.083333333333
"85",2015-09-23,"2015-09",4,0,14.0458333333333,1.50833333333333,20.1458333333333,1.8125,0,5092.75,4455.45833333333,4525.25,1290.25,637.291666666667
"86",2015-09-24,"2015-09",5,0,13.8041666666667,1.90416666666667,18.7583333333333,0.424999999999997,0,3926.04166666667,3853.08333333333,5713.75,1535.45833333333,72.958333333333
"87",2015-09-25,"2015-09",6,1,17.6625,2.44166666666667,18.9708333333333,0.637499999999999,0,4909.79166666667,4475.41666666667,5002.04166666667,1437.91666666667,434.375
"88",2015-09-26,"2015-09",7,1,17.65,2.2,19.6083333333333,1.275,0,9877.375,8076.95833333333,11297.5416666667,1444.83333333333,1800.41666666667
"89",2015-09-27,"2015-09",1,0,18.5458333333333,1.92916666666667,20.2458333333333,1.9125,0,8112.16666666667,8342.625,8767.08333333333,2093.83333333333,-230.458333333333
"90",2015-09-28,"2015-09",2,0,20.8916666666667,1.35833333333333,22.4166666666667,4.08333333333333,0,5050.70833333333,4403.83333333333,5125.29166666667,2393.83333333333,646.875
"91",2015-09-29,"2015-09",3,0,21.9916666666667,0.720833333333333,22.7833333333333,4.45,0,4694.625,4831.04166666667,6130,1897.5,-136.416666666667
"92",2015-09-30,"2015-09",4,0,20.8541666666667,0.820833333333333,23.95,5.61666666666667,0,4576.66666666667,5063.45833333333,5586.75,2651.33333333333,-486.791666666666
"93",2015-10-01,"2015-10",5,0,16.2583333333333,2.15416666666667,18.025,0,0.308333333333334,3859.54166666667,3125.04166666667,5885.66666666667,1047.66666666667,734.5
"94",2015-10-02,"2015-10",6,1,12.3791666666667,2.78333333333333,13.7208333333333,0,4.6125,4308.875,4155.20833333333,10514.375,1386.83333333333,153.666666666667
"95",2015-10-03,"2015-10",7,1,14.875,2.975,15.475,0,2.85833333333333,9970.95833333333,7582.54166666667,10318.6666666667,1399.16666666667,2388.41666666667
"96",2015-10-04,"2015-10",1,0,16.7916666666667,3.44583333333333,17.8083333333333,0,0.525000000000002,9258.66666666667,9613.875,10066.1666666667,1500.25,-355.208333333334
"97",2015-10-05,"2015-10",2,0,12.575,2.3875,15.0583333333333,0,3.275,4288.16666666667,4333.41666666667,4249.41666666667,1232.58333333333,-45.25
"98",2015-10-06,"2015-10",3,0,11.1541666666667,1.09583333333333,15.225,0,3.10833333333333,4043.45833333333,4014.08333333333,5752.875,1101.79166666667,29.375
"99",2015-10-07,"2015-10",4,0,12.975,0.591666666666667,18.5375,0.204166666666666,0,4400.41666666667,3962.45833333333,5938.41666666667,2102.75,437.958333333333
"100",2015-10-08,"2015-10",5,0,15.9083333333333,0.783333333333333,19.8541666666667,1.52083333333333,0,4733.70833333333,4660.125,6898.79166666667,1319.41666666667,73.583333333333
"101",2015-10-09,"2015-10",6,1,17.7666666666667,1.07916666666667,19.8541666666667,1.52083333333333,0,4817.41666666667,4640.79166666667,6915.20833333333,1542.125,176.625
"102",2015-10-10,"2015-10",7,1,16.125,1.65833333333333,16.4041666666667,0,1.92916666666667,10950.0833333333,8616.625,6022.125,2367.29166666667,2333.45833333333
"103",2015-10-11,"2015-10",1,0,12.2333333333333,0.883333333333333,16.0541666666667,0,2.27916666666667,9749.41666666667,8618.95833333333,8813.25,1885,1130.45833333333
"104",2015-10-12,"2015-10",2,0,14.2166666666667,0.925,17.1875,0,1.14583333333334,4017.625,4062.54166666667,4317.70833333333,2425.91666666667,-44.9166666666665
"105",2015-10-13,"2015-10",3,0,15.3458333333333,1.36666666666667,18.0375,0,0.295833333333334,4367.75,4415.04166666667,4688.25,2309.70833333333,-47.291666666667
